file name,queen presence
2022-07-04--01-05-00_2_spect.png,1
2022-07-07--07-22-56_2_spect.png,1
2022-07-08--07-09-47_2_spect.png,1
2022-06-14--09-56-21_1_spect.png,1
2022-07-09--08-34-36_1_spect.png,1
2022-07-10--18-37-40_1_spect.png,1
2022-07-06--15-33-11_2_spect.png,1
2022-07-01--04-15-51_1_spect.png,1
2022-06-15--14-27-39_2_spect.png,1
2022-06-14--15-50-57_1_spect.png,1
2022-07-05--23-43-52_2_spect.png,1
2022-07-12--22-07-06_2_spect.png,1
2022-07-11--10-20-30_1_spect.png,1
2022-07-11--05-28-37_2_spect.png,1
2022-07-03--04-15-39_1_spect.png,1
2022-06-15--06-32-29_2_spect.png,1
2022-06-13--07-51-24_2_spect.png,1
2022-06-30--02-51-21_2_spect.png,1
2022-06-11--08-33-45_2_spect.png,1
2022-07-09--07-35-11_1_spect.png,1
2022-07-07--21-15-59_2_spect.png,1
2022-07-06--20-10-24_1_spect.png,1
2022-06-07--13-07-01_2_spect.png,1
2022-07-10--20-35-10_2_spect.png,1
2022-07-08--16-44-43_1_spect.png,1
2022-07-08--11-08-46_2_spect.png,1
2022-06-12--06-33-03_2_spect.png,1
2022-06-26--11-48-16_1_spect.png,0
2022-06-26--11-47-55_2_spect.png,0
2022-06-26--22-38-40_1_spect.png,0
